拼音,汉字
li,利力莉丽里梨历立励理例礼离厉沥李粒砺璃蜊栗隶唳痢吏笠莅雳荔鲤娌蠡黎犁篱漓厘哩鹂郦骊俪鲡逦疠粝呖蛎坜枥苈疬砾栎轹跞喱狸锂俚悝俐猁缡蓠藜溧傈篥澧醴鳢罹鬲戾嫠詈黧
lia,俩
lian,连炼脸练恋帘廉莲联怜链敛镰涟裢琏鲢殓裣潋蔹濂蠊臁楝奁
liang,两量良凉粮亮谅梁辆靓踉晾粱俩魉莨墚椋
liao,料缭聊疗镣撂寥燎潦獠僚辽撩 了钌廖蓼嘹鹩寮
lie,列猎烈劣趔冽裂咧洌鬣躐捩埒
lin,林临琳躏蔺吝檩凛麟鳞磷粼霖淋邻啉膦辚瞵嶙遴赁廪懔拎
ling,灵领零铃岭另令聆龄囹凌绫菱陵棂羚翎玲伶拎泠呤蛉柃瓴苓鲮棱
liu,刘留流浏六柳硫遛琉瘤馏熘溜榴骝镏旒锍鎏陆鹨绺碌
lo,咯
long,拢龙笼隆垄陇聋胧珑咙茏泷栊砻窿癃弄哢
lou,楼陋偻漏瘘篓髅耧喽搂娄镂蝼嵝蒌露
lu,鲁虑律路芦绿率露旅录缕履碌颅滤屡铝侣吕驴鹭潞麓辘鹿赂禄陆掳虏卤炉庐卢噜撸璐泸鲈栌舻垆胪鸬轳硵渌逯橹镥氇漉簏戮辂蓼六
lv,律率绿氯吕侣铝闾稆旅膂虑履缕偻褛屡捋
luan,乱卵銮鸾挛孪峦栾滦娈脔
lue,略掠锊
lun,论轮沦伦仑抡轮纶囵
luo,罗落洛络漯摞骆裸螺骡锣逻捋椤猡萝箩跞泺硌珞烙雒镙瘰倮荦脶
ma,妈马吗骂麻码蟆嘛玛蚂犸杩摩嬷么抹呒唛
mai,卖买埋脉霾麦迈荬劢
man,满慢曼蛮漫蔓幔谩瞒馒鳗熳镘墁缦螨颟埋鞔
mang,忙茫芒莽氓盲邙硭蟒漭
mao,茂猫毛貌茅贸帽冒耄铆卯锚矛髦牦旄瑁袤蟊蝥瞀懋泖茆峁昴
me,么麽
mei,美没每玫梅妹媚眉酶枚煤袂魅寐昧镁媒霉莓湄楣猸鹛嵋镅糜谜浼
men,们门懑焖闷扪钔
meng,梦猛孟蒙懵锰瞢朦檬盟萌蜢勐艋氓
mi,蜜迷弥米咪密秘泌觅靡糜醚谜眯脒敉麋谧宓嘧祢猕縻蘼芈汨弭幂
mian,面棉免腼缅冕娩勉绵眠湎丐沔眄黾渑
miao,描妙喵苗缪庙藐缈渺秒瞄鹋杪眇淼邈
mie,灭篾蔑咩蠛乜
min,民敏泯抿闽悯闵皿岷珉苠缗玟愍黾鳘
ming,命明名铭鸣酩瞑冥茗盟溟暝螟
miu,谬缪
mo,末陌抹膜默漠模莫墨磨寞殁沫茉魔蘑摩摹馍摸秣谟镆嫫貘瘼蓦没耱嬷麽脉万貊冒嘿貉无
mou,眸某谋牟哞侔蛑缪鍪蝥
mu,母睦目幕牡木拇慕穆暮墓募牧苜沐亩姆坶钼模姥仫牟毪
na,那南哪拿纳捺衲钠呐娜镎肭呢
nai,奶耐奈萘乃艿氖佴柰鼐哪
nan,难男腩楠喃囡囝南蝻赧
nang,囊攮馕囔曩
nao,脑闹恼淖垴蛲铙挠孬瑙硇猱呶
ne,呢讷哪呐
nei,内馁那哪
nen,嫩恁
neng,能
ni,你妮拟尿泥慝溺腻匿逆昵霓倪尼祢呢坭铌伲怩旎鲵睨猊
nian,年念粘酿廿碾撵辇捻鲶黏蔫拈埝鲇
niang,娘酿
niao,鸟嬲袅茑尿脲溺
nie,蘖孽镍臬蹑镊嗫聂涅捏颞乜陧啮
nin,您恁
ning,凝宁苎佞泞柠狞咛拧聍甯
niu,扭牛钮纽忸妞狃拗
nou,耨
nong,浓农弄脓哝侬廾
nu,努女怒衄恧弩驽孥奴胬
nv,女钕衄恧
nuan,暖
nue,虐疟
nuo,诺挪喏糯懦搦娜锘傩
o,哦呕怄沤藕偶鸥殴欧瓯讴噢
ou,区欧瓯鸥殴沤呕怄讴偶耦藕
pa,派怕爬帕琶杷葩啪趴钯耙筢扒
pai,排拍湃哌牌徘派蒎俳迫
pan,胖盘畔盼叛判蟠磐攀潘番泮袢襻拚扳般爿蹒
pang,旁耪螃庞彷滂乓磅膀胖逄
pao,跑抛庖袍炮狍咆刨泡匏疱脬
pei,培配陪佩帔霈沛裴锫赔醅胚呸旆辔
pen,盆喷湓
peng,朋碰蓬捧篷膨彭鹏硼棚澎嘭烹砰怦抨蟛堋
pi,批僻皮匹疲睥媲屁癖擗痞脾啤郫貔琵蚍毗枇霹噼劈披砒纰坯邳丕仳吡庀芘陂铍坏否裨蜱陴埤淠辟甓譬堡疋圮罴鼙
pian,片篇偏骗翩谝骈扁犏蹁胼便缏
piao,漂飘嘌票瞟殍瓢嫖缥剽螵骠莩朴
pie,瞥撇氕苤
pin,拼品贫聘苹嫔频姘拚榀颦牝
ping,评平瓶凭屏萍坪娉乒鲆枰苹俜冯
po,迫泼颇破婆魄粕珀叵鄱坡陂繁泊朴钋皤笸钷攴泺钹
pou,剖掊瓿裒
pu,朴普扑葡蒲谱曝瀑蹼浦圃埔濮璞菩莆匍噗铺仆溥脯镨氆镤暴堡
qi,起弃其奇气期器七启棋齐汽骑泣琪戚祈契企栖俟憩砌妻迄讫绮杞岂乞畦鳍耆琦崎麒旗祺萁歧岐芪祁脐漆蹊欺嘁萋凄沏柒欹淇骐蜞葺蛴荠蕲汔亓圻槭屺桤芑稽碛綦颀綮缉亟
qia,洽恰掐卡髂葜
qian,前千签歉浅潜钱嵌欠荨茜慊堑倩芡谴遣乾掮钳虔黔骞谦铅牵钎迁扦阡仟佥纤芊肷钤缱箝褰搴鬈椠愆悭犍岍
qiang,强墙锵跄炝襁抢蔷腔羌戗枪呛蜣镪嫱樯戕锖将羟蕉
qiao,乔瞧悄敲巧桥鞘窍峭俏樵憔谯翘荞侨橇锹跷蕉峤鞒诮劁撬壳愀硗雀缲
qie,切且茄怯惬锲挈妾郄窃趄砌伽慊箧
qin,琴亲侵勤秦沁擒覃寝噙禽芩芹钦衾溱螓嗪矜吣檎锓揿廑
qing,清情请青倾庆轻晴磬箐謦顷擎卿氢蜻圊鲭氰倾罄亲綮苘檠黥黧
qiong,穷琼穹邛筇蛩銎跫茕
qiu,球求秋丘糗酋逑俅泅囚蚯邱赇裘鳅楸湫仇鼽犰遒蝤虬巯龟
qu,取去趣曲渠屈区娶觑龋趋蛆祛诎蛐躯驱岖瞿蠼衢氍癯璩蘧麴朐劬阒鸲磲苣蕖戌黢
quan,全权圈泉券劝蜷拳醛痊诠铨辁荃筌绻犬畎颧悛鬈
que,却缺确瘸榷雀炔鹊阙阕悫
qun,群裙麇逡
ran,然染燃冉髯苒蚺
rang,让攘壤瓤穰嚷禳
rao,扰绕娆饶桡荛
re,热惹若喏
ren,人认任仁忍韧葚妊饪轫纫仞刃稔荏壬衽
reng,扔仍
ri,日
rong,荣容融绒嵘熔榕溶蓉茸戎狨蝾冗肜
rou,柔肉鞣蹂揉糅
ru,如辱入儒褥乳汝蠕孺濡茹洳铷嚅颥襦薷溽缛蓐
ruan,软阮朊
rui,锐瑞睿芮蕊枘蚋蕤
run,润闰
ruo,若弱偌箬
sa,洒仨挲萨飒卅撒脎
sai,塞赛噻鳃腮思
san,三散伞糁馓叁霰毵
sang,丧嗓搡桑磉颡
sao,扫瘙埽嫂臊缫骚搔鳋缲梢
se,色瑟啬涩铯塞穑
sen,森
seng,僧
sha,沙傻杉霎啥煞砂纱鲨裟痧莎刹杀挲铩厦嗄唼歃
shai,晒筛色酾
shan,闪山善扇剡埏蟮赡嬗擅鳝膳缮骟疝汕讪陕膻煽苫跚珊姗删衫舢鄯单禅掸杉髟钐栅潸芟掺
shang,上伤商赏尚裳绱晌垧墒殇熵汤觞
shao,少绍烧苕哨劭邵韶芍勺艄筲稍梢捎召鞘潲蛸杓
she,赊社涉舍设射歙慑摄赦麝蛇佘舌猞畲奢折厍滠揲
shei,谁
shen,身神深审甚申伸肾什莘慎蜃渗婶沈娠砷绅呻椹葚胂砷渖参糁矧哂谂诜
sheng,胜盛生声省升绳圣剩嵊晟甥笙牲眚渑乘
shi,是什使时十事世失狮实石史始师识试视示施室湿势食市适式士诗柿拾逝噬螫嗜谥释莳誓饰恃侍弑拭舐氏仕屎豕矢驶蚀虱尸铈鲥埘轼炻峙似蓍筮鲺匙贳酾殖嘘
shou,首受售守手收授寿瘦兽狩绶艏熟
shu,术树书数输暑熟舒束鼠蔬恕殊叔竖属述署淑澍漱墅庶腧戍蜀黍曙薯赎塾孰秫疏梳姝菽枢纾抒沭毹殳倏摅
 shua,刷唰耍
shuai,摔衰蟀帅甩率
shuan,涮栓拴闩
shuang ,双爽霜孀泷
shui,睡水谁税说
shun,顺瞬舜吮
shuo,说烁硕朔铄妁搠槊蒴数
si,似丝四司思死私撕嘶肆嗣饲伺姒寺驷泗祀巳厮斯咝澌笥锶缌俟汜蛳兕耜鸶厶食厕
song,送松诵宋颂讼悚耸怂嵩淞凇忪崧菘竦
sou,搜嗽擞嗾叟艘飕溲馊嗖锼瞍螋薮
su,素诉苏速塑俗宿缩簌蔌溯谡粟嗉肃夙酥愫涑觫僳稣
suan,算酸蒜狻
sui,随岁虽碎穗燧隧髓遂隋绥眭荽睢濉祟谇尿
sun,损孙榫笋飧狲荪隼
suo,所索琐嗦锁唢蓑羧梭唆缩睃莎桫娑挲嗍
ta,他她它踏塔榻沓獭塌趿嗒蹋鳎溻遢漯挞闼拓铊
tai,态太台抬汰肽泰钛跆胎苔骀鲐邰炱酞呔薹
tan,探贪叹坦谈摊碳炭毯袒忐檀潭谭痰昙坛瘫滩坍覃镡弹钽锬郯澹
tang,糖堂躺唐淌塘趟烫傥倘帑螳膛樘棠搪镗耥汤瑭溏醣螗饧铴惝羰
tao,桃讨淘陶萄套啕逃韬滔掏绦焘涛洮叨鼗饕
te,特忒忑铽慝
teng ,滕藤誊腾疼
ti,体题提踢替嚏惕倜涕剃屉蹄啼缇锑梯剔醍裼悌绨鹈逖荑
tian,天添甜田填掭腆舔忝恬钿佃畋阗殄
tiao,跳挑条粜眺窕笤迢佻祧调龆苕髫鲦蜩
tie,铁贴萜帖餮
ting,听庭停挺亭婷艇铤霆蜓莛廷烃汀厅梃葶町
tong,痛同统童通桐瞳恸桶捅筒潼彤佟铜茼仝侗酮恫峒垌嗵僮砼
tou,头投偷透骰钭
tu,突土徒途兔涂图秃吐菟屠荼凸钍酴堍
tuan,团疃抟湍彖
tui,推退腿褪蜕煺颓忒
tun,吞氽臀豚饨屯囤褪暾
tuo,拓托妥拖脱唾椭鸵驼陀佗驮乇庹沱坨砣跎柁酡铊舵魄箨橐柝鼍
wa,瓦蛙挖哇袜佤娃娲洼凹腽
wai,外歪崴
wan,晚完挽万玩弯婉顽碗腕绾皖脘惋宛烷纨丸豌蜿剜湾莞琬畹菀娩芄
wang,望亡网忘往王妄汪旺枉魍辋惘罔芒尢
wei,为伟位未违维味威唯微危卫慰委畏蔚萎尾围胃尉魏渭猬谓喂猥痿诿娓伪炜玮纬苇潍惟帷桅帏韦薇煨偎巍逶崴囗沩葳艉嵬韪涠闱隗隈圩遗鲔洧
wen,文问稳闻纹温紊吻刎雯蚊瘟汶璺阌
weng,嗡瓮翁蓊蕹
wo,我握斡龌幄卧沃喔倭蜗窝涡莴挝硪渥肟  
wu,无物五伍误务舞午乌武悟雾梧鹜焐晤戊坞勿兀捂侮鹉妩忤蜈吴唔吾毋芜屋诬巫污圬钨呜牾浯鼯痦寤怃庑邬芜芴婺仵迕恶杌阢鋈於
xi,习希袭西吸析系息细喜戏悉夕溪洗惜膝嘻嬉席稀隙禧屣徙玺铣隰媳醯曦熹僖熙锡樨犀蟋奚螅熄蜥晰淅昔硒牺兮矽汐栖茜粞舾蹊裼烯唏浠郗舄皙菥腊穸歙羲阋禊翕檄觋欷葸蓰饩鼹鼷
xia,下夏霞虾辖吓厦黠暇瑕遐硖狭峡侠狎匣瞎呷瘕柙罅唬
xian,线先献现显鲜险陷衔限贤县酰羡嫌闲纤腺馅宪苋藓蚬冼涎咸舷弦痫娴锨掀籼仙洗铣跣筅岘猃莶氙跹鹇暹霰祆燹见
xiang,想乡像相向响项象享翔详祥香橡巷饷镶襄箱湘厢蟓芗缃葙庠降骧飨鲞
xiao,小消校效笑孝销晓硝逍萧削啸哮淆嚣箫潇骁枭霄宵肖哓绡蛸魈筱崤枵
xie,些协写谢歇鞋懈谐泻屑蟹邂榭亵械卸泄携偕斜挟邪胁蝎楔鲑渫解廨獬绁血燮契颉缬撷躞薤瀣榍勰叶
xin,辛心新信欣衅囟鑫歆昕忻薪锌芯莘馨寻镡
xing,幸星性杏形兴行醒型刑姓悻擤荥陉饧腥惺猩省荇邢硎悻
xiong,雄凶胸熊芎兄汹匈
xiu,秀羞休修溴嗅袖锈绣朽馐咻貅鸺庥髹岫宿臭
xu,许续序叙虚须需绪墟煦蓿婿絮酗蓄畜恤旭栩徐嘘胥戌盱圩溆浒顼醑糈吁诩勖砉洫
xuan,选宣玄喧绚悬楦渲眩炫癣漩旋暄萱轩煊碹揎璇镟铉泫痃券谖儇
xue,学血雪谑穴薛靴鳕削噱泶踅
xun,训寻迅询勋讯旬蕈逊殉徇汛驯循巡恂醺薰熏鲟浔荨尊洵峋郇荀埙獯曛巽浚荤窨彐
ya,压雅涯呀崖琊衙砑迓讶娅亚蚜芽伢牙哑垭鸭押鸦丫桠氩痖蚜岈轧睚揠疋埏
yan,严俨酽砚言唁盐焰阎眼烟咽胭燕演验艳滟岩延蜒筵沿铅炎琰剡焱研妍彦谚晏鼹宴堰郾偃颜焉鄢嫣雁奄腌淹掩崦厣罨阉衍闫厌恹檐赝湮殷魇餍兖芫鼯阽谳阏菸
yang,样洋扬阳养仰央杨氧疡漾烊恙怏痒徉佯羊炀鞅秧鸯殃泱蛘
yao,要邀摇耀腰药遥曜窈舀咬杳瑶徭谣窑姚尧肴爻妖夭吆幺疟珧铫么侥鳐崾鹞繇陶钥约轺
ye,也夜叶业页冶野液谒烨腋曳爷噎掖椰耶邺晔哗揶邪铘靥咽
yi,一艺以颐遗医议意已易义益翼异伊逸衣移亦疫役怡忆依宜谊臆疑乙仪熠溢劓懿殪肄癔镱薏缢翳翌翊羿诣蜴绎驿译毅轶佚悒邑抑裔奕弈屹呓亿弋旖倚舣蚁酏矣苡彝嶷迤贻饴诒沂胰姨咦荑夷噫壹揖漪椅猗铱咿钇仡埸痍镒嗌艾移怿峄挹眙欹尾黟佾刈蛾瘗圯蛇
